"dataset","mode","n_runs","comp_ms_mean","comp_ms_std","decomp_ms_mean","decomp_ms_std","input_bytes","bin_bytes","ratio_bin_over_input"
"zeros.txt","crossing","5","224,183","16,264","227,049","9,197","1029","79","0,077"
"zeros.txt","non_crossing","5","215,543","7,728","218,953","14,651","1029","79","0,077"
"zeros.txt","overflow","5","214,797","18,685","206,233","8,327","1029","149","0,145"
"k5.txt","crossing","5","224,128","18,936","222,203","15,433","1851","331","0,179"
"k5.txt","non_crossing","5","226,193","14,234","216,042","22,191","1851","351","0,19"
"k5.txt","overflow","5","209,652","16,134","220,925","16,046","1851","397","0,214"
"k12.txt","crossing","5","212,971","7,997","211,792","12,033","2862","767","0,268"
"k12.txt","non_crossing","5","211,89","10,614","220,956","18,353","2862","1015","0,355"
"k12.txt","overflow","5","209,139","14,115","213,018","13,465","2862","837","0,292"
"mix.txt","crossing","5","230,198","9,996","214,851","2,507","2993","2567","0,858"
"mix.txt","non_crossing","5","203,012","11,442","205,444","14,243","2993","4095","1,368"
"mix.txt","overflow","5","218,483","8,355","214,673","14,772","2993","969","0,324"
